       chi [cm^-1]           g       stage       level
               0.0       2.000           0           0
 82256.45053290908       8.000           0           1
 97489.12655752186      18.000           0           2
102820.56316613631      32.000           0           3
 105288.2566821236      50.000           0           4
106628.73217228953      72.000           0           5
107436.99661441182      98.000           0           6
107961.59132444317     128.000           0           7
108321.25173057985     162.000           0           8
108578.51470343999     200.000           0           9
108768.86020880537     242.000           0          10
108913.63357598147     288.000           0          11
109026.30129805699     338.000           0          12
109115.69968651203     392.000           0          13
109187.82174442448     450.000           0          14
109246.84836401987     512.000           0          15
109295.76818213523     578.000           0          16
109336.76346555403     648.000           0          17
109371.45777228907     722.000           0          18
109401.07920876908     800.000           0          19
109426.57062578984     882.000           0          20
 109448.6655851104     968.000           0          21
 109467.9417299962    1058.000           0          22
109484.85892690443    1152.000           0          23
109499.78694940856    1250.000           0          24
109513.02585742332    1352.000           0          25
109524.82119425295    1458.000           0          26
109535.37545453708    1568.000           0          27
109544.85683336284    1682.000           0          28
109553.40596901519    1800.000           0          29
 109561.1411884741    1922.000           0          30
109568.16262391403    2048.000           0          31
109574.55546961132    2178.000           0          32
109580.39257844289    2312.000           0          33
109585.73654670008    2450.000           0          34
109590.64139929759    2592.000           0          35
109595.15396057426    2738.000           0          36
109599.31497598134    2888.000           0          37
109603.16003508374    3042.000           0          38
109606.72033510134    3200.000           0          39
109610.02331571464    3362.000           0          40
109613.09318935653    3528.000           0          41
109615.95138620224    3698.000           0          42
109618.61692918665    3872.000           0          43
109621.10675134682    4050.000           0          44
109623.43596540812    4232.000           0          45
109625.61809365518    4418.000           0          46
109627.66526463516    4608.000           0          47
 109629.5883820529    4802.000           0          48
 109631.3972702612    5000.000           0          49
109633.10079998132    5202.000           0          50
109634.70699726489    5408.000           0          51
109636.22313820277    5618.000           0          52
109637.65583147232    5832.000           0          53
109639.01109047583    6050.000           0          54
109640.29439654334    6272.000           0          55
109641.51075444288    6498.000           0          56
109642.66474124977    6728.000           0          57
109643.76054946799    6962.000           0          58
109644.80202516288    7200.000           0          59
109645.79270175463    7442.000           0          60
 109646.7358300276    7688.000           0          61
109647.63440483184    7938.000           0          62
109648.49118888758    8192.000           0          63
109649.30873404589    8450.000           0          64
 109650.0894003119    8712.000           0          65
109650.83537289551    8978.000           0          66
109651.54867751976    9248.000           0          67
109652.23119418812    9522.000           0          68
109652.88466958409    9800.000           0          69
109653.51072825809   10082.000           0          70
109654.11088273347   10368.000           0          71
109654.68654265079   10658.000           0          72
109655.23902305264   10952.000           0          73
109655.76955190056   11250.000           0          74
109656.27927690439   11552.000           0          75
109656.76927173442   11858.000           0          76
109657.24054168002   12168.000           0          77
109657.69402881004   12482.000           0          78
109658.13061668439   12800.000           0          79
109658.55113466107   13122.000           0          80
109658.95636183773   13448.000           0          81
109659.34703066292   13778.000           0          82
 109659.7238302482   14112.000           0          83
109660.08740940901   14450.000           0          84
109660.43837945962   14792.000           0          85
109660.77731678441   15138.000           0          86
109661.10476520575   15488.000           0          87
109661.42123816686   15842.000           0          88
109661.72722074576   16200.000           0          89
109662.02317151506   16562.000           0          90
 109662.3095242611   16928.000           0          91
109662.58668957451   17298.000           0          92
109662.85505632285   17672.000           0          93
109663.11499301516   18050.000           0          94
109663.36684906787   18432.000           0          95
109663.61095597954   18818.000           0          96
109663.84762842229   19208.000           0          97
109664.07716525644   19602.000           0          98
109664.29985047437   20000.000           0          99
109675.26737721209      50.000           1           4
