# E (cm^-1)           g       stage       level
      0.000       2.000           0           0
  82256.451       8.000           0           1
  97489.127      18.000           0           2
 102820.563      32.000           0           3
 105288.257      50.000           0           4
 106628.732      72.000           0           5
 107436.997      98.000           0           6
 107961.591     128.000           0           7
 108321.252     162.000           0           8
 108578.515     200.000           0           9
 108768.860     242.000           0          10
 108913.634     288.000           0          11
 109026.301     338.000           0          12
 109115.700     392.000           0          13
 109187.822     450.000           0          14
 109246.848     512.000           0          15
 109295.768     578.000           0          16
 109336.763     648.000           0          17
 109371.458     722.000           0          18
 109401.079     800.000           0          19
 109426.571     882.000           0          20
 109448.666     968.000           0          21
 109467.942    1058.000           0          22
 109484.859    1152.000           0          23
 109499.787    1250.000           0          24
 109513.026    1352.000           0          25
 109524.821    1458.000           0          26
 109535.375    1568.000           0          27
 109544.857    1682.000           0          28
 109553.406    1800.000           0          29
 109561.141    1922.000           0          30
 109568.163    2048.000           0          31
 109574.555    2178.000           0          32
 109580.393    2312.000           0          33
 109585.737    2450.000           0          34
 109590.641    2592.000           0          35
 109595.154    2738.000           0          36
 109599.315    2888.000           0          37
 109603.160    3042.000           0          38
 109606.720    3200.000           0          39
 109610.023    3362.000           0          40
 109613.093    3528.000           0          41
 109615.951    3698.000           0          42
 109618.617    3872.000           0          43
 109621.107    4050.000           0          44
 109623.436    4232.000           0          45
 109625.618    4418.000           0          46
 109627.665    4608.000           0          47
 109629.588    4802.000           0          48
 109631.397    5000.000           0          49
 109633.101    5202.000           0          50
 109634.707    5408.000           0          51
 109636.223    5618.000           0          52
 109637.656    5832.000           0          53
 109639.011    6050.000           0          54
 109640.294    6272.000           0          55
 109641.511    6498.000           0          56
 109642.665    6728.000           0          57
 109643.761    6962.000           0          58
 109644.802    7200.000           0          59
 109645.793    7442.000           0          60
 109646.736    7688.000           0          61
 109647.634    7938.000           0          62
 109648.491    8192.000           0          63
 109649.309    8450.000           0          64
 109650.089    8712.000           0          65
 109650.835    8978.000           0          66
 109651.549    9248.000           0          67
 109652.231    9522.000           0          68
 109652.885    9800.000           0          69
 109653.511   10082.000           0          70
 109654.111   10368.000           0          71
 109654.687   10658.000           0          72
 109655.239   10952.000           0          73
 109655.770   11250.000           0          74
 109656.279   11552.000           0          75
 109656.769   11858.000           0          76
 109657.241   12168.000           0          77
 109657.694   12482.000           0          78
 109658.131   12800.000           0          79
 109658.551   13122.000           0          80
 109658.956   13448.000           0          81
 109659.347   13778.000           0          82
 109659.724   14112.000           0          83
 109660.087   14450.000           0          84
 109660.438   14792.000           0          85
 109660.777   15138.000           0          86
 109661.105   15488.000           0          87
 109661.421   15842.000           0          88
 109661.727   16200.000           0          89
 109662.023   16562.000           0          90
 109662.310   16928.000           0          91
 109662.587   17298.000           0          92
 109662.855   17672.000           0          93
 109663.115   18050.000           0          94
 109663.367   18432.000           0          95
 109663.611   18818.000           0          96
 109663.848   19208.000           0          97
 109664.077   19602.000           0          98
 109664.300   20000.000           0          99
 109675.267       1.000           1           0
